gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
MYCT1	188249	600	-9	789998	242446	0	3	0	0	50	17	36136986	5.232844e-03	1
DEFB129	1010597	348	24	634312	172556	0	2	0	0	50	6	29553348	5.280132e-03	1
FILIP1	441614	325	19	4154358	1140894	0	7	0	0	50	3	25433694	5.284807e-03	1
SDHC	743182	293	35	755294	168700	0	3	0	0	50	11	37203652	5.339491e-03	1
A1CF	113129	613	19	2209488	621780	0	5	1	0	50	11	27240230	5.350178e-03	1
CT47B1	NaN	NaN	NaN	1003042	309926	0	2	1	0	30	6	21512142	5.545628e-03	1
MOGAT2	528291	418	45	1149088	331616	0	3	0	0	50	10	33894240	5.761970e-03	1
LMTK2	457962	375	19	5129926	1469618	0	6	0	0	50	4	25653004	5.861479e-03	1
LHX3	799089	244	42	1443590	453562	0	5	0	0	50	7	31355064	6.217842e-03	1
IQCF2	849777	453	39	577436	155686	0	2	0	0	50	6	24640322	6.293912e-03	1
B3GAT3	2695768	217	42	1103298	380298	0	3	0	0	50	3	32102164	6.440348e-03	1
PDP1	319459	423	5	2029702	568760	0	4	0	0	50	2	25194622	6.476381e-03	1
CA8	206353	885	-14	1033890	274740	0	4	0	0	50	13	31398926	6.684422e-03	1
TMEM184C	71637	343	9	1545292	411146	0	3	0	0	50	6	30937170	6.747168e-03	1
CAMTA1	289717	462	23	5774842	1614218	0	5	0	0	50	1	31619682	6.926455e-03	1
TAF1D	290677	527	0	996294	242928	0	3	0	0	50	10	26869572	7.203243e-03	1
CLEC12B	305376	565	19	1012200	242928	0	2	0	0	50	5	35422662	7.503932e-03	1
IL9	489402	443	19	519596	135442	0	2	0	0	50	7	22097290	7.679331e-03	1
SPTA1	177547	940	1	8622498	2170446	0	25	5	0	42	21	25284756	7.753889e-03	1
CHRNA6	594393	454	34	1711582	467540	0	2	0	0	50	7	34475050	8.059629e-03	1
OR10G8	158396	830	-10	1020394	333062	0	6	0	0	50	25	32289180	8.059826e-03	1
CTNNAL1	337834	433	14	2608102	687332	0	5	0	0	50	5	24657192	8.158051e-03	1
GPR37L1	704755	156	27	1583852	515740	0	4	0	0	50	6	25453456	8.185941e-03	1
BRCA2	221300	462	44	11936248	3045758	0	8	1	0	25	2	19050568	8.329935e-03	1
AADACL4	145424	454	23	1379002	408254	0	4	1	0	50	11	26619414	8.360399e-03	1
MKRN1	359405	521	24	1691338	447296	0	3	0	0	50	7	37566116	8.417732e-03	1
OC90	100916	999	6	1686518	462238	0	5	1	0	50	14	31989376	8.491808e-03	1
BRAF	305191	616	25	2674136	754330	0	7	0	0	43	11	29157144	8.581375e-03	1
TINAG	58216	617	4	1714956	412110	0	3	0	0	50	14	37495744	8.969675e-03	1
PPP1R14C	346933	439	30	570206	167254	0	2	0	0	50	13	34681346	9.021662e-03	1
CCNL2	1736268	273	28	1810392	545142	0	4	1	0	50	7	28413900	9.120535e-03	1
STAT4	529053	318	19	2710768	669980	0	4	0	0	50	3	29188474	9.312729e-03	1
BTBD9	295241	821	32	2256242	606838	0	2	0	0	50	3	26739432	9.918548e-03	1
THSD4	312827	505	3	3539808	976050	0	6	0	0	30	1	16978450	1.000975e-02	1
CPEB4	164298	381	43	2521342	697454	0	2	0	0	50	0	29193294	1.006307e-02	1
CYP2F1	1016551	354	11	1686518	499834	0	3	0	0	50	0	19513770	1.016133e-02	1
CEP57	298879	467	2	1794486	436692	0	2	0	0	50	2	33889420	1.061598e-02	1
POM121L12	10922	1116	-24	967374	323904	0	6	0	0	11	3	6448196	1.113141e-02	1
OR4P4	1295	1091	-20	1067148	289200	0	4	0	0	50	16	25945096	1.126154e-02	1
SYK	126037	542	32	2242264	591896	0	3	0	0	50	1	32992900	1.138127e-02	1
ANAPC5	959300	258	39	2661604	710468	0	4	0	0	50	5	34496258	1.142424e-02	1
JUND	1178047	210	43	1110046	399578	0	3	0	0	50	5	30185732	1.232692e-02	1
ATP6V1C2	744427	428	42	1520710	411146	0	3	0	0	50	10	32838178	1.244820e-02	1
GJA5	NaN	NaN	NaN	1203072	360054	0	3	0	0	50	23	54037502	1.275848e-02	1
KRT85	936407	213	42	1741948	508028	0	3	0	0	50	8	32092042	1.285388e-02	1
SNX31	1141276	196	50	1599758	388492	0	2	0	0	50	8	29000012	1.300945e-02	1
HTR2A	129425	885	34	1799306	494050	0	2	0	0	50	8	32370156	1.311539e-02	1
OR10R2	177013	929	7	1111010	345112	0	4	0	0	50	15	27593054	1.336556e-02	1
SGK3	391086	405	25	1797860	444886	0	4	0	0	50	9	30665804	1.365205e-02	1
CD300LB	698491	504	10	832896	224130	0	3	0	0	50	18	26817516	1.409308e-02	1
ST8SIA4	24350	1122	36	1246934	340774	0	2	0	0	50	5	31627876	1.412570e-02	1
C1S	2495896	211	52	2412410	640096	0	4	1	0	50	5	32173018	1.416224e-02	1
TMEM102	1906324	206	33	1632534	587076	0	4	0	0	50	6	31875624	1.472469e-02	1
CYP2C8	318306	717	-10	1719776	459346	0	5	0	0	50	10	30029564	1.478915e-02	1
PCDHA12	NaN	NaN	NaN	3114684	1000632	0	8	1	0	50	24	54678080	1.479690e-02	1
KCNB1	1002860	392	54	2896820	835306	0	4	1	0	50	3	28899274	1.489237e-02	1
LCP2	79392	629	34	1936676	495496	0	3	0	0	50	4	26571696	1.490883e-02	1
CDH5	479049	262	-20	2697754	771200	0	5	0	0	50	11	29990040	1.495594e-02	1
OR2AE1	1535089	438	36	1079680	325832	0	2	1	0	50	6	29429474	1.518104e-02	1
MX2	241283	506	46	2525198	656002	0	3	0	0	50	5	24559828	1.529596e-02	1
C1orf127	702484	307	33	2735832	908088	0	2	0	0	50	1	34461554	1.529744e-02	1
MMP19	1909014	256	38	1749178	505136	0	4	0	0	50	9	31530994	1.538304e-02	1
IL21	126588	388	2	589004	147010	0	2	0	0	50	14	28969164	1.542088e-02	1
HSD17B4	302141	472	27	2618224	711914	0	3	0	0	50	3	25492016	1.552929e-02	1
MOAP1	325787	222	35	1183792	343184	0	4	0	0	50	8	24231104	1.650324e-02	1
HSPA8	709511	307	8	2229732	623226	0	7	0	0	45	15	31424472	1.667561e-02	1
ACTBL2	160055	456	3	1263804	374514	0	4	0	0	50	9	24746362	1.741516e-02	1
GADL1	78546	487	-12	1886066	462238	0	2	0	0	50	10	35198532	1.750815e-02	1
VAV3	132139	554	-11	3111310	756740	0	4	0	0	12	0	9221142	1.802251e-02	1
XIRP1	163147	452	44	6058258	1946798	0	6	0	0	37	1	23290240	1.830008e-02	1
GLRA2	78081	NaN	18	1677842	437656	0	4	0	0	50	19	29078096	1.861409e-02	1
OR4C3	278638	642	-40	1091730	336918	0	3	0	0	50	7	29592390	1.861527e-02	1
SMAD2	108087	185	42	1651814	436210	0	2	0	0	50	3	27552084	1.883854e-02	1
DRD3	418141	589	23	1364542	412592	0	3	0	0	50	12	28558018	1.889515e-02	1
LCE3E	285984	752	17	317156	92062	0	1	0	0	50	6	30593986	1.890299e-02	1
COL11A1	37620	742	-20	6490612	1956920	0	13	1	0	19	4	11358812	1.891888e-02	1
RSPO2	187803	942	-9	880614	200994	0	2	0	0	50	9	27916476	1.916672e-02	1
USP28	169458	534	10	3818404	999668	0	3	0	0	50	11	34612902	1.917474e-02	1
EPB41L3	57432	1036	-5	3776470	1070522	0	9	1	0	50	10	23739946	1.930013e-02	1
PNLIP	128161	704	-16	1656152	434764	0	3	0	0	50	14	39079114	1.933305e-02	1
UPP1	108417	409	26	1084500	305106	0	3	0	0	50	7	28712740	1.948436e-02	1
HOXC4	1185281	279	54	907124	256906	0	3	0	0	50	8	26105120	1.971597e-02	1
PFKFB1	244981	NaN	0	1685072	440548	0	2	0	0	50	14	38552288	1.980336e-02	1
P2RX5	504736	354	20	1495646	405844	0	2	0	0	50	5	31675594	1.998217e-02	1
TRAF3IP2	320530	201	32	1944870	556710	0	3	0	0	50	7	27027186	2.006390e-02	1
BCL6	88374	374	24	2432654	680584	0	6	1	0	50	10	27795012	2.018425e-02	1
ANKAR	408508	452	20	5043166	1314896	0	7	0	0	50	8	33571300	2.019969e-02	1
HPD	829168	195	44	1425274	366320	0	3	0	0	50	4	26411672	2.031953e-02	1
ZNF485	310272	630	-6	1557824	382708	0	4	0	0	50	10	27583896	2.037882e-02	1
ZNF324	2179183	270	-4	1838348	582256	0	3	0	0	50	9	34707856	2.047528e-02	1
ALX3	571576	400	29	1138966	373550	0	2	0	0	50	6	26599652	2.048038e-02	1
OMP	437413	450	40	544660	165326	0	2	0	0	50	18	28451978	2.053698e-02	1
FAM47B	6541	NaN	-14	2148274	656966	0	5	1	0	50	17	34174282	2.054033e-02	1
CHAF1A	2078211	278	37	3328692	906642	0	6	0	0	50	8	31974434	2.073708e-02	1
LINGO2	8941	927	-34	2031630	607320	0	7	0	0	50	16	26596278	2.111207e-02	1
TSGA13	278944	433	9	985208	246784	0	2	0	0	50	8	27151542	2.146527e-02	1
LRRTM1	10982	1577	-18	1736646	537912	0	6	2	0	34	13	17483586	2.147873e-02	1
ACTR5	358558	551	35	2083686	602982	0	3	0	0	50	7	28384498	2.153993e-02	1
RAG1	97499	412	-17	3557160	977496	0	7	0	0	27	4	15804298	2.158992e-02	1
NUP160	931839	158	14	5070158	1368880	0	3	0	0	50	6	31031160	2.174262e-02	1
METAP2	441602	328	18	1704834	430908	0	3	0	0	50	3	26282496	2.181882e-02	1
SIGLEC10	393294	583	17	2363246	722518	0	3	0	0	50	7	31716564	2.181896e-02	1
GALNTL5	309129	476	12	1572766	399578	0	5	0	0	50	4	27946842	2.194724e-02	1
KCNE3	633655	283	23	350414	106522	0	2	0	0	50	7	31751750	2.197510e-02	1
OR10C1	404210	854	21	1004006	352342	0	3	0	0	50	6	22497350	2.218988e-02	1
C20orf96	1010597	348	24	1318270	318602	0	2	0	0	50	6	29553348	2.219821e-02	1
SALL1	332955	935	-42	4435364	1326946	0	12	1	0	32	7	14439274	2.222535e-02	1
KCND3	320241	623	23	2224430	661786	0	4	0	0	24	1	13123896	2.222873e-02	1
ZNF568	265140	1008	-41	2288536	532610	0	3	0	0	40	8	23746694	2.258937e-02	1
PTMS	2816186	232	48	388010	81940	0	1	0	0	50	7	34295746	2.267894e-02	1
MMACHC	809450	176	25	945684	299322	0	3	0	0	50	10	29615044	2.286282e-02	1
ZNF679	NaN	NaN	NaN	1462388	350896	0	3	0	0	50	23	54028344	2.292354e-02	1
PPP2CA	838413	147	48	1085464	294020	0	2	0	0	50	9	31246614	2.313962e-02	1
CYTIP	79169	895	18	1271034	334026	0	3	0	0	50	7	30757866	2.315367e-02	1
BANF2	594840	432	1	355716	86760	0	2	0	0	50	4	23896596	2.322534e-02	1
KCTD19	1201743	142	56	3207710	909052	0	3	0	0	50	5	33890866	2.323325e-02	1
GPR50	215822	NaN	-7	2059104	630456	0	3	1	0	19	3	16819872	2.325633e-02	1
HOXD4	245316	874	13	850248	266064	0	3	0	0	50	9	24334252	2.341566e-02	1
METTL14	238966	636	31	1622894	417412	0	3	0	0	50	2	20247374	2.345849e-02	1
TIMM13	1604277	267	35	337882	90134	0	1	0	0	50	8	30877402	2.370305e-02	1
FPR1	436280	690	-24	1157282	371140	0	3	0	0	50	5	22433726	2.371255e-02	1
KCNA3	318208	730	22	1892814	605874	0	3	1	0	50	14	40441728	2.385979e-02	1
ACTL7B	336944	471	9	1380930	429462	0	6	1	0	11	2	5878954	2.430159e-02	1
KPRP	64902	818	18	1926072	595752	0	5	1	0	50	9	27991668	2.440327e-02	1
CAT	653478	256	23	1872570	490194	0	2	0	0	50	3	27071048	2.467145e-02	1
PIK3CA	401889	613	11	3804908	948094	0	10	1	0	50	17	29562988	2.494322e-02	1
SP3	296444	376	27	2635576	791444	0	3	0	0	50	6	30025708	2.512365e-02	1
NR1I3	731911	229	39	1386714	381744	0	2	0	0	50	7	32194226	2.513507e-02	1
ABHD8	842088	211	43	1457568	474288	0	4	1	0	26	3	12450060	2.537929e-02	1
SIX1	352813	482	5	952914	289200	0	2	0	0	17	2	11373754	2.552803e-02	1
KIAA0319	417813	373	19	3749478	1064256	0	2	0	0	50	3	29194258	2.573629e-02	1
ITPR2	359658	548	22	9594210	2450970	0	7	2	0	50	13	36591512	2.583069e-02	1
THTPA	1250373	553	35	769272	244374	0	3	0	0	50	17	34434562	2.613360e-02	1
CREB3L2	227556	553	20	1795932	527790	0	2	0	0	50	8	24220982	2.627643e-02	1
FZD6	428438	615	23	2431690	669980	0	4	0	0	50	5	21866412	2.632174e-02	1
LRRN3	65006	840	2	2392166	683476	0	5	0	0	50	13	29087254	2.660913e-02	1
DHTKD1	341646	227	25	3193732	892664	0	6	2	0	49	10	32357142	2.664891e-02	1
RGP1	922448	190	48	1461906	462720	0	2	0	0	50	6	29641072	2.686248e-02	1
PCP2	611341	384	33	480554	135442	0	1	0	0	50	4	28040832	2.701628e-02	1
OR5D16	4214	1074	-46	1097032	327278	0	4	1	0	29	9	15882864	2.715230e-02	1
PDYN	461602	543	28	865190	252568	0	3	0	0	50	11	26574106	2.717241e-02	1
TMCC2	690215	169	34	2360836	742280	0	3	0	0	49	7	28970610	2.731997e-02	1
IRF6	220312	429	18	1637836	432836	0	2	0	0	50	5	29482494	2.733049e-02	1
TCEAL8	455954	NaN	17	416448	101220	0	1	0	0	50	7	31043210	2.756881e-02	1
AGA	44980	837	-8	1220906	330652	0	4	0	0	50	21	32576452	2.764297e-02	1
C10orf99	216191	860	-17	285344	84832	0	2	0	0	50	15	34248510	2.808148e-02	1
NDUFA1	772178	NaN	38	256424	66034	0	1	0	0	36	6	17197760	2.828147e-02	1
CBLN1	6672	907	-33	651182	201958	0	2	0	0	50	15	24955550	2.829306e-02	1
ART4	340728	578	-4	1080644	300286	0	2	0	0	50	6	21315486	2.838238e-02	1
OR6N2	103627	985	1	1060882	317156	0	4	0	0	50	12	28210014	2.852893e-02	1
FOXP1	99202	675	-1	2593642	684440	0	3	2	0	47	15	25503584	2.919383e-02	1
PKD2L1	1071291	198	56	2805722	777466	0	3	0	0	50	7	33243058	2.940631e-02	1
PSG3	386041	417	-19	1479740	415966	0	3	1	0	50	5	25543108	2.958175e-02	1
STOX2	169045	458	-14	3136374	902304	0	3	1	0	50	3	25111236	2.965616e-02	1
NUDT12	201826	521	0	1614218	428980	0	3	0	0	50	11	26460354	2.969932e-02	1
C19orf53	767214	289	6	348004	100256	0	1	0	0	50	14	37710716	2.978297e-02	1
RXFP1	151976	534	-10	2712214	680102	0	3	0	0	50	8	34791724	3.007587e-02	1
TSPAN7	99411	NaN	23	879168	248712	0	3	0	0	50	10	23702832	3.038019e-02	1
OR4C6	1295	1091	-20	1036300	305588	0	4	1	0	49	16	23622338	3.041629e-02	1
KCNK5	181911	634	29	1687964	504172	0	3	0	0	50	5	28654900	3.053553e-02	1
SCTR	211577	497	30	1550594	431872	0	3	0	0	50	6	29336448	3.071825e-02	1
CDH11	23628	1085	-56	2748846	766380	0	6	0	0	50	7	22644842	3.072689e-02	1
LRRIQ3	58597	1188	-18	2215272	533574	0	6	0	0	46	21	29242940	3.079184e-02	1
BMP2K	234707	489	30	4092180	1087392	0	6	0	0	50	6	27573292	3.079570e-02	1
HMGB2	249666	413	23	763006	171110	0	2	0	0	50	13	24979650	3.083784e-02	1
FBXO16	295355	204	47	1053652	263654	0	3	0	0	50	9	26154284	3.094452e-02	1
SPRR1A	426723	748	28	311854	84350	0	2	0	0	50	11	27430620	3.123387e-02	1
ARID4B	550877	297	22	4686968	1141858	0	3	0	0	50	4	29640590	3.124747e-02	1
PRKAG1	1754222	212	60	1189094	323422	0	3	0	0	50	11	33940512	3.140849e-02	1
C19orf47	1006719	289	35	1207892	376924	0	3	0	0	50	9	29704214	3.148562e-02	1
DEGS2	405420	237	39	1079680	340292	0	4	0	0	50	9	25042310	3.151382e-02	1
G3BP2	485383	451	31	1694230	464648	0	4	0	0	50	13	30266226	3.164158e-02	1
QKI	81134	1131	1	1307184	358608	0	3	0	0	50	11	26492166	3.174532e-02	1
RPL10A	683460	280	36	776984	203404	0	3	1	0	15	5	7259402	3.177950e-02	1
KRT78	1781225	288	27	1789184	520078	0	5	1	0	50	10	25545518	3.185698e-02	1
LELP1	822908	602	28	346076	89170	0	2	0	0	50	15	37199314	3.189651e-02	1
RNF31	974559	220	41	3670912	1102334	0	3	0	0	50	7	33260410	3.194038e-02	1
CACNG7	813774	360	-33	951950	271366	0	3	0	0	50	13	30364554	3.247308e-02	1
HSPA4	637803	223	39	3004788	747582	0	3	0	0	50	7	34144398	3.248624e-02	1
PNPLA1	839966	358	30	1821960	569724	0	2	0	0	50	4	26296474	3.264568e-02	1
NEUROD6	48298	883	-4	1160656	311372	0	3	1	0	50	21	30515420	3.286756e-02	1
P2RY4	161347	NaN	27	1186684	401024	0	3	0	0	50	10	30660502	3.314964e-02	1
PEX2	66156	757	2	1052206	281006	0	2	0	0	50	11	29124368	3.329770e-02	1
PI4K2A	514755	143	54	1652296	479108	0	2	0	0	50	5	26762086	3.333256e-02	1
TSTD2	506644	420	36	1833528	461274	0	2	0	0	50	5	29629022	3.351371e-02	1
ATOH1	58522	802	24	1164030	375960	0	3	0	0	50	8	25427428	3.366464e-02	1
ZNF420	262327	1018	-64	2424460	581774	0	4	0	0	50	5	18360826	3.374310e-02	1
KRTAP1-3	977588	404	10	579846	151830	0	1	0	0	50	1	19329646	3.411880e-02	1
ANXA2	431518	299	14	1303328	327760	0	2	0	0	50	7	25719038	3.434312e-02	1
PEX3	318754	401	13	1341888	344148	0	2	0	0	50	9	31440860	3.448450e-02	1
PPIA	1200579	164	55	594306	151830	0	1	0	0	50	6	33324998	3.467170e-02	1
SERPINB5	200746	166	24	1322608	343184	0	3	0	0	50	7	25869904	3.487088e-02	1
RTP1	425258	445	28	902786	251122	0	3	0	0	50	16	33984374	3.488753e-02	1
OR11H6	371813	563	-29	1092694	341738	0	3	0	0	50	10	27490870	3.493040e-02	1
CAMK4	192731	767	29	1658080	458864	0	3	1	0	50	6	29334038	3.493546e-02	1
DFFA	829921	392	32	1164994	338846	0	3	0	0	50	11	31420616	3.504303e-02	1
OR10J1	347588	699	-5	1069558	328724	0	4	0	0	50	11	23991068	3.523511e-02	1
EPB41L4A	164575	671	28	2480854	626600	0	2	0	0	50	2	24887588	3.524431e-02	1
ASPG	622747	468	20	1962222	646362	0	3	0	0	50	4	27157326	3.533854e-02	1
ADAM23	290387	726	16	2997076	761078	0	5	0	0	44	5	26309488	3.538236e-02	1
DDX23	1655612	214	57	2862116	789034	0	4	0	0	50	6	27002122	3.557798e-02	1
CUL3	255624	463	20	2736796	685886	0	5	0	0	38	5	23236738	3.560010e-02	1
SHC1	1612870	224	35	1991142	610212	0	4	0	0	50	4	25032188	3.574874e-02	1
XPA	484322	358	36	978460	239072	0	2	0	0	50	10	24259542	3.589536e-02	1
FOXL1	47545	445	10	1116794	384154	0	3	1	0	50	11	30103792	3.615085e-02	1
GABRB1	106512	689	24	1655188	451634	0	4	1	0	35	6	19332538	3.627929e-02	1
FAM126B	646602	167	33	1830154	531164	0	2	0	0	50	5	28197000	3.664822e-02	1
CRIP1	689089	298	41	299322	67962	0	1	0	0	50	15	28575852	3.686228e-02	1
SCNM1	1562281	184	33	811206	228468	0	1	0	0	50	2	28384016	3.699491e-02	1
ZNF276	1162469	219	39	2113088	615514	0	3	0	0	50	7	23854180	3.705035e-02	1
DPPA5	732413	446	18	410182	111824	0	2	0	0	50	9	27385312	3.705857e-02	1
C20orf194	1015129	338	40	4234852	1086428	0	4	0	0	50	2	28907950	3.723063e-02	1
PFN2	622464	490	17	608284	162434	0	2	0	0	50	4	26451678	3.737026e-02	1
RHOA	1623187	201	33	683958	180750	0	2	0	0	50	3	26552416	3.752769e-02	1
PIK3R2	1249693	226	42	2477480	765898	0	4	0	0	50	10	32335452	3.760708e-02	1
FKBP4	495532	443	28	1621930	425606	0	3	0	0	50	14	29456466	3.767999e-02	1
OR52A1	109516	1024	-15	1048832	306070	0	3	0	0	50	10	25312712	3.782246e-02	1
XCL1	389559	440	15	393312	120018	0	2	0	0	50	8	23959738	3.786319e-02	1
C11orf88	401074	326	18	710950	178340	0	1	0	0	50	3	27362658	3.786772e-02	1
LGALS13	1148741	322	25	498870	128694	0	1	0	0	50	6	25701204	3.807953e-02	1
GSK3B	467052	421	19	1506250	440066	0	2	0	0	50	11	21708798	3.867344e-02	1
MYL6B	2878044	171	40	747582	199548	0	2	0	0	50	3	28061076	3.887693e-02	1
ASXL2	602691	287	31	4855186	1437806	0	3	0	0	50	6	33695656	3.889460e-02	1
DDX27	886628	261	50	2822592	753366	0	4	1	0	50	8	32593804	3.893805e-02	1
NOX3	108543	628	13	2003192	541768	0	3	0	0	50	11	28985552	3.895871e-02	1
CCDC110	173409	422	20	2969120	686368	0	2	0	0	43	4	22131030	3.906374e-02	1
HINT2	847663	227	54	558156	182196	0	1	0	0	50	6	27964676	3.943620e-02	1
GPR87	NaN	NaN	NaN	1235848	335954	0	4	0	0	50	23	54013402	3.945264e-02	1
ARL2	3151458	209	52	642506	186052	0	2	0	0	50	6	32160968	3.949295e-02	1
ITIH2	199302	528	-8	3336886	886880	0	6	1	0	50	11	31726686	3.957834e-02	1
SEMA3D	17511	646	-28	2773910	696490	0	5	1	0	38	4	20227130	3.960439e-02	1
MBD1	229269	262	51	2315528	683476	0	2	1	0	50	8	26218872	3.982431e-02	1
LRRC27	150194	280	13	2081758	539840	0	2	0	0	50	9	25586006	3.984734e-02	1
LTF	266701	565	34	2493868	685886	0	3	0	0	50	3	27919850	3.986612e-02	1
