gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
LYSMD3	86012	780	7	2156490	569196	0	5	1	0	50	43	56608596	6.087306e-03	1
ZNF716	NaN	NaN	NaN	3533514	867486	0	10	0	0	50	96	109781478	6.133195e-03	1
OR4D10	430021	507	-1	2082162	664062	0	6	0	0	50	45	58353348	6.228402e-03	1
LARP4B	378329	515	9	5207850	1490472	0	7	1	0	50	27	50815902	6.302828e-03	1
CDKL3	910029	148	49	4312980	1053306	0	9	0	0	20	12	32802120	6.496502e-03	1
FAM135B	6187	989	-37	9800538	2806860	0	17	2	0	5	4	11284164	6.747513e-03	1
WSCD2	451405	644	29	3956988	1107096	0	14	2	0	12	10	14598606	6.748708e-03	1
RGS7	134467	834	-27	3640116	854772	0	14	1	0	50	70	54234990	6.781290e-03	1
EEF1A1	716887	139	38	3235224	922254	0	7	0	0	20	12	19415256	6.784570e-03	1
GRPEL2	422727	380	28	1562844	461616	0	4	0	0	50	26	53134740	7.029005e-03	1
PIWIL1	224466	621	-26	6185850	1636194	0	17	2	0	24	36	35637342	7.064050e-03	1
USP12	283040	221	52	2704170	655260	0	8	0	0	50	44	56052114	7.082531e-03	1
LASP1	1255539	159	41	1920792	455748	0	4	0	0	50	26	62226228	7.086134e-03	1
PMS1	424679	385	20	6693432	1659666	0	10	1	0	50	20	56726934	7.112364e-03	1
ZNF512	1192074	306	43	4105644	1052328	0	6	0	0	50	49	79159320	7.159969e-03	1
WFDC5	865186	324	46	893892	238632	0	5	0	0	50	44	75692310	7.406563e-03	1
MARK2	1321109	201	51	5575578	1580448	0	8	0	0	50	19	56986104	7.808968e-03	1
TARS2	1532790	163	43	5015184	1518834	0	11	0	0	50	31	64009122	8.231392e-03	1
ACTG1	3582152	268	26	2607348	760884	0	6	0	0	50	22	49359660	8.611785e-03	1
SAMD14	1237828	210	23	3078744	964308	0	7	0	0	13	4	17467080	9.497612e-03	1
LGALS2	991778	176	51	966264	245478	0	2	0	0	50	29	55234506	9.522509e-03	1
CTH	339263	379	-3	2920308	782400	0	4	0	0	41	19	46515636	9.608878e-03	1
OR6K3	175690	966	2	2155512	620052	0	7	1	0	50	56	58813008	9.720544e-03	1
PTCHD3	345745	581	2	5269464	1525680	0	11	1	0	31	33	39278436	9.805661e-03	1
ANKHD1	NaN	NaN	NaN	17770260	5305650	0	13	0	0	4	0	8890020	1.004485e-02	1
DNAJC9	829738	249	44	1863090	487044	0	5	0	0	50	29	63144570	1.018008e-02	1
CELA3B	448600	190	29	1918836	554526	0	5	0	0	50	28	60509838	1.025517e-02	1
ZP4	14616	1051	-30	3803442	1093404	0	12	2	0	50	84	76773978	1.077171e-02	1
CXCR3	947642	NaN	52	2754048	966264	0	6	0	0	50	27	56820822	1.081548e-02	1
ARMCX2	300391	NaN	31	4189752	1381914	0	11	2	0	34	19	39215844	1.085732e-02	1
CST2	159399	889	-45	1000494	278730	0	3	0	0	50	38	46227126	1.090127e-02	1
MRPL46	212296	630	4	1945242	566262	0	4	0	0	50	49	58852128	1.104789e-02	1
SSX3	660654	NaN	14	1546218	352080	0	4	0	0	50	25	58562640	1.144055e-02	1
HNF1B	553994	403	28	3917868	1087536	0	5	0	0	50	23	51281430	1.145988e-02	1
GRHL2	424003	399	36	4572150	1113942	0	8	2	0	25	15	29810418	1.147033e-02	1
BAP1	1078407	229	62	5129610	1483626	0	9	0	0	26	14	24426528	1.150362e-02	1
CCDC69	916138	407	56	2150622	557460	0	5	0	0	45	36	44401200	1.185482e-02	1
USP9X	734477	NaN	38	18389334	4745256	0	21	3	0	19	12	22938990	1.214822e-02	1
NLRP2	982889	432	-21	7418130	2079228	0	10	3	0	38	36	42365982	1.230055e-02	1
PIP4K2C	1347795	303	44	3014196	817608	0	7	1	0	50	56	81358842	1.232680e-02	1
SMYD3	219137	939	-6	3111018	794136	0	8	0	0	17	17	19807434	1.247643e-02	1
KIF17	632832	208	35	7126686	2103678	0	11	0	0	50	24	61031112	1.252048e-02	1
ATP11A	585697	416	45	8735496	2337420	0	13	3	0	42	33	54855042	1.277383e-02	1
MYH9	1223952	226	49	14043102	3687060	0	27	5	0	7	7	10811790	1.280685e-02	1
ATAD2B	233701	431	27	10424502	2734488	0	17	2	0	16	8	15540420	1.288757e-02	1
CFP	775214	NaN	38	3302706	945726	0	7	1	0	5	2	6866538	1.320762e-02	1
GRK1	785061	NaN	36	2281674	637656	0	7	2	0	26	16	24808926	1.323849e-02	1
EIF3I	1460758	218	29	2395122	597558	0	6	0	0	50	36	59571936	1.335246e-02	1
PDCL2	237456	456	32	1804410	393156	0	6	0	0	50	59	73491810	1.336712e-02	1
KIAA0040	NaN	NaN	NaN	701226	178974	0	3	0	0	50	96	109092966	1.371220e-02	1
OR5R1	NaN	NaN	NaN	2201478	653304	0	8	1	0	37	62	77258088	1.432515e-02	1
MYCT1	188249	600	-9	1602942	491934	0	6	1	0	19	17	20117460	1.475179e-02	1
BOLA1	798975	560	17	899760	326652	0	4	0	0	50	47	62927454	1.488393e-02	1
LETM1	851373	239	44	5167752	1498296	0	8	1	0	50	31	64686876	1.489559e-02	1
TFAP2A	199695	375	6	3179478	933990	0	8	1	0	50	26	48900000	1.489663e-02	1
GNL3L	302365	NaN	31	4204422	1103184	0	9	2	0	30	18	35102376	1.551670e-02	1
SLC35B2	1037256	312	54	2892924	953550	0	8	1	0	50	40	54309318	1.557003e-02	1
ZCCHC12	234959	NaN	44	2747202	800004	0	7	0	0	50	43	62973420	1.581147e-02	1
RPL18A	1216364	212	37	1258686	357948	0	4	0	0	50	26	48310266	1.622309e-02	1
CDC42BPA	290976	481	-2	12402018	3148182	0	16	1	0	11	6	16027464	1.636566e-02	1
LRRC42	430138	201	31	3023976	834234	0	9	0	0	50	23	48978240	1.677946e-02	1
RAB6A	549152	224	37	1793652	450858	0	7	0	0	50	39	60569496	1.726996e-02	1
PPP2CA	838413	147	48	2202456	596580	0	3	0	0	50	27	63400806	1.742161e-02	1
CORO2A	494263	272	50	3718356	1034724	0	9	0	0	50	26	49609050	1.747084e-02	1
PREPL	433205	522	29	5268486	1306608	0	10	2	0	22	9	18892026	1.793787e-02	1
DYNC1I1	184459	747	-7	4649412	1224456	0	10	1	0	50	47	61767546	1.796874e-02	1
FAHD2A	255441	536	19	2205390	649392	0	4	0	0	50	30	51487788	1.810694e-02	1
CDKN1A	904665	228	37	1109052	366750	0	2	0	0	50	28	50878494	1.826990e-02	1
WDR44	131060	NaN	25	6543798	1724214	0	14	2	0	50	33	47383122	1.829052e-02	1
METAP2	441602	328	18	3459186	874332	0	6	0	0	50	21	53328384	1.834954e-02	1
SERPINC1	443726	385	13	3265542	903672	0	8	0	0	50	51	75071280	1.848278e-02	1
MRFAP1	501655	278	47	887046	251346	0	3	0	0	50	31	54092202	1.872269e-02	1
SHISA4	736064	208	24	1373112	416628	0	4	1	0	50	52	70701576	1.874083e-02	1
KRAS	259193	512	16	1676292	403914	0	5	0	0	50	33	56371920	1.881329e-02	1
PLD5	75320	854	-18	3224466	798048	0	8	1	0	50	44	57282438	1.915495e-02	1
ZNF207	679038	286	30	3493416	992670	0	6	0	0	50	34	58663374	1.916543e-02	1
OR5A1	430021	507	-1	2116392	665040	0	5	0	0	50	45	58353348	1.975359e-02	1
ACTN4	1596646	322	36	6575094	1692918	0	11	1	0	50	32	57699066	1.999403e-02	1
TRA2B	978158	213	30	2045976	591690	0	5	0	0	50	28	53320560	2.004419e-02	1
PHKA2	182760	NaN	35	8829384	2425440	0	18	3	0	25	19	26250498	2.010605e-02	1
MKRN3	94496	904	-55	3466032	1005384	0	10	1	0	50	36	47032998	2.041190e-02	1
AMPD1	600650	472	11	5635236	1426902	0	8	2	0	50	28	57773394	2.103261e-02	1
SSX1	603602	NaN	5	1442550	303180	0	5	0	0	50	32	52921536	2.114810e-02	1
ZNF619	195638	546	22	4393176	1160886	0	7	0	0	50	32	57561168	2.130270e-02	1
SF3B1	736523	276	30	9283176	2555514	0	20	1	0	4	2	6175092	2.139109e-02	1
TAS2R31	365490	676	-2	2123238	617118	0	6	0	0	50	40	49038876	2.145450e-02	1
PMEPA1	197938	488	15	2005878	593646	0	5	0	0	50	26	47155248	2.147183e-02	1
ANKRD28	345831	435	29	7532556	2061624	0	9	0	0	21	8	32549796	2.189917e-02	1
TMSB15A	96151	NaN	0	354036	74328	0	2	0	0	15	14	14761932	2.206716e-02	1
C6orf62	422850	362	40	1657710	413694	0	4	0	0	50	30	66292752	2.226279e-02	1
PREX2	14825	990	1	12219132	3061140	0	20	3	0	29	17	32157618	2.227341e-02	1
COL23A1	533179	634	18	3830826	1259664	0	6	0	0	17	5	22032384	2.248749e-02	1
SCGB2A2	3058870	450	42	695358	161370	0	2	0	0	50	24	44793378	2.263133e-02	1
SEMA4F	964055	364	41	5236212	1702698	0	10	1	0	50	34	60396390	2.272116e-02	1
CBX8	633863	209	31	2632776	852816	0	8	0	0	50	42	52800264	2.294512e-02	1
SEC13	742508	333	57	2339376	603426	0	4	0	0	18	5	20606460	2.303641e-02	1
ZNF623	2198262	229	33	3768234	964308	0	6	1	0	50	34	59369490	2.308904e-02	1
GYPB	146672	990	-12	675798	186798	0	3	0	0	50	49	53537676	2.350984e-02	1
YIPF7	62950	1034	-6	1998054	545724	0	6	1	0	50	64	55586586	2.359964e-02	1
TC2N	368236	478	21	3525690	925188	0	8	2	0	49	51	71483976	2.381105e-02	1
SLC22A25	1852481	572	32	3800508	1116876	0	6	1	0	50	34	50154774	2.409552e-02	1
PHLDA3	842013	209	26	850860	287532	0	2	0	0	50	21	47158182	2.420383e-02	1
LUC7L2	545432	339	30	2843046	721764	0	7	2	0	14	13	14442126	2.435066e-02	1
HSF1	2525749	200	28	3714444	1091448	0	4	0	0	50	10	71925054	2.479198e-02	1
TINAG	58216	617	4	3479724	836190	0	9	1	0	22	24	24784476	2.500216e-02	1
AADAC	200470	526	2	2795124	778488	0	5	0	0	50	27	64997880	2.508728e-02	1
FUNDC1	91432	NaN	20	1123722	296334	0	2	0	0	50	23	65937738	2.539526e-02	1
XBP1	571394	219	-10	2805882	641568	0	3	0	0	50	34	62734788	2.544748e-02	1
CD300A	491117	504	7	2093898	617118	0	5	0	0	50	30	50024700	2.547062e-02	1
CRYBA1	1533931	159	32	1604898	360882	0	3	0	0	50	38	59302008	2.558816e-02	1
RPS6	498767	339	12	1769202	501714	0	4	0	0	50	34	69413550	2.563851e-02	1
PRRX1	61224	921	-7	1847442	537900	0	6	0	0	50	62	65113284	2.574012e-02	1
OR4N2	275024	858	-57	2072382	635700	0	8	1	0	50	52	50066754	2.580831e-02	1
PEX11G	609287	308	36	1624458	558438	0	3	0	0	50	27	64727952	2.583306e-02	1
SERPINA1	201688	843	9	2915418	819564	0	6	0	0	50	61	60637956	2.584560e-02	1
FBXW7	117295	501	51	5969712	1600008	0	12	0	0	3	3	7014216	2.634071e-02	1
ETS2	382323	151	5	3380946	855750	0	7	0	0	50	29	50847198	2.666904e-02	1
DOK5	139298	847	-37	2213214	571152	0	8	0	0	13	16	16477344	2.677741e-02	1
CHRNB2	1896659	403	41	3443538	1042548	0	7	1	0	50	28	48785574	2.683170e-02	1
TIA1	667934	164	33	2849892	697314	0	4	0	0	50	25	58519608	2.709208e-02	1
DAP	630950	435	29	749148	192666	0	2	0	0	50	32	57218868	2.710665e-02	1
SNAP23	552242	269	39	1558932	389244	0	3	0	0	50	28	57554322	2.716253e-02	1
MBD6	1347795	303	44	6509568	2456736	0	8	1	0	34	39	67078086	2.749852e-02	1
TNP2	632841	308	37	997560	243522	0	2	0	0	50	25	60267294	2.751607e-02	1
FLG2	387153	671	6	16173186	4904670	0	26	7	0	32	20	31209936	2.752247e-02	1
WTAP	643775	604	19	2847936	734478	0	5	1	0	50	34	55013478	2.754658e-02	1
EIF1AX	262207	NaN	37	1109052	237654	0	3	0	0	50	35	53151366	2.773050e-02	1
ATG4A	201673	NaN	25	2947692	705138	0	6	0	0	50	36	52670190	2.789116e-02	1
PACSIN2	627533	222	56	3542316	861618	0	7	0	0	50	21	58598826	2.805730e-02	1
CXorf58	528624	NaN	37	2412726	612228	0	5	1	0	19	10	24102810	2.812547e-02	1
STK11	2214581	234	29	3076788	848904	0	3	0	0	50	18	56278032	2.815521e-02	1
LRGUK	239801	634	8	5943306	1555998	0	10	2	0	31	26	37188450	2.820892e-02	1
TGS1	324398	409	17	6165312	1492428	0	10	1	0	50	38	64056066	2.843926e-02	1
LPCAT4	542657	234	22	3621534	1157952	0	3	1	0	50	22	51768474	2.848524e-02	1
AFF2	97330	NaN	-13	9357504	2586810	0	21	3	0	19	15	20185920	2.858639e-02	1
TSPYL2	884583	NaN	77	4933032	1245972	0	9	1	0	50	40	62191998	2.892660e-02	1
TMEM89	1386275	212	37	1053306	363816	0	2	0	0	50	57	74603796	2.909873e-02	1
AP2M1	1456939	257	45	3223488	734478	0	4	0	0	50	34	58727922	2.911333e-02	1
SPPL3	1410077	392	45	2712972	793158	0	9	0	0	20	17	24705258	2.915224e-02	1
MRPL20	1736268	273	28	1059174	302202	0	3	0	0	50	23	57653100	2.924032e-02	1
OR5I1	4262	1044	-40	2138886	630810	0	7	0	0	34	41	41895564	2.926063e-02	1
PRKAR1A	662487	313	-28	2735466	744258	0	4	2	0	50	48	59225724	2.930584e-02	1
TBL1XR1	135357	433	0	3746718	950616	0	10	0	0	2	4	4793178	2.959294e-02	1
ASH1L	1960625	247	33	20714040	5700762	0	22	5	0	50	32	59836974	2.981773e-02	1
NMS	226558	642	9	1188270	284598	0	2	0	0	50	45	63752886	3.016346e-02	1
RPL26	772200	257	20	1050372	275796	0	3	0	0	50	30	47527866	3.031437e-02	1
MFAP5	297035	320	19	1314432	322740	0	4	0	0	50	41	63067308	3.067113e-02	1
PPP1R3B	159748	526	23	2009790	519318	0	2	0	0	50	22	56762142	3.078961e-02	1
DBNDD2	1037999	382	35	1284114	364794	0	2	0	0	50	30	47877990	3.123356e-02	1
WDR17	133039	616	-8	9495402	2501724	0	13	0	0	22	13	28855890	3.134528e-02	1
GRIN2A	109137	922	-9	10289538	2746224	0	16	3	0	32	32	46442286	3.155847e-02	1
FXYD5	745516	357	-9	1290960	372618	0	3	0	0	50	47	49056480	3.169916e-02	1
TSPAN16	1385739	197	31	1718346	517362	0	2	0	0	50	29	61071210	3.176310e-02	1
SEMA3D	17511	646	-28	5628390	1413210	0	17	4	0	11	15	10560444	3.213920e-02	1
OR10A3	105341	679	6	2126172	643524	0	4	0	0	50	40	68400342	3.223378e-02	1
AHCY	962066	151	50	3067986	848904	0	5	1	0	50	25	62466816	3.227862e-02	1
CEP70	198996	515	16	4438164	1013208	0	7	0	0	21	14	26092062	3.274236e-02	1
FAM153B	592877	609	19	2960406	707094	0	6	0	0	50	34	56836470	3.275288e-02	1
RBM12	1423559	169	53	6258222	1965780	0	9	0	0	10	4	10739418	3.310404e-02	1
CRABP1	505232	435	56	991692	258192	0	2	0	0	50	29	62375862	3.318429e-02	1
LCE2B	169158	818	24	767730	221028	0	4	0	0	50	48	55449666	3.339752e-02	1
OR4X2	400891	509	-27	2055756	620052	0	6	1	0	50	46	53906382	3.350053e-02	1
ARID4B	550877	297	22	9510072	2316882	0	13	0	0	4	1	6054798	3.368089e-02	1
RAB9B	472103	NaN	26	1415166	374574	0	6	1	0	16	8	11287098	3.373341e-02	1
ALLC	252769	496	5	2820552	758928	0	3	1	0	50	29	67788114	3.387701e-02	1
SNAPC1	246220	410	26	2719818	633744	0	5	0	0	50	38	55240374	3.390631e-02	1
LCN10	1898901	190	39	1416144	417606	0	3	0	0	50	39	68373936	3.394247e-02	1
VPS4B	206996	278	92	3176544	857706	0	6	0	0	50	23	54559686	3.394421e-02	1
FANK1	207005	738	-8	2493900	668952	0	7	1	0	50	54	66677106	3.402543e-02	1
SP3	296444	376	27	5347704	1605876	0	7	0	0	18	11	21408420	3.408794e-02	1
DDX55	929791	224	44	4310046	1138392	0	6	0	0	43	33	62883444	3.437485e-02	1
UBP1	483698	352	9	3945252	1004406	0	5	0	0	50	34	75162234	3.450966e-02	1
AP3M2	580110	382	45	2966274	815652	0	4	1	0	50	28	58537212	3.474420e-02	1
TBC1D8	333394	406	17	8110554	2155512	0	12	3	0	33	23	41516100	3.510774e-02	1
OR13G1	191710	995	-32	2093898	617118	0	8	0	0	46	65	64765116	3.551304e-02	1
MAST4	36320	621	7	18274908	5531568	0	11	0	0	5	0	13162902	3.565856e-02	1
ATP10B	170108	904	11	10281714	2845002	0	18	1	0	3	3	7523754	3.570707e-02	1
KCTD21	551110	208	23	1797564	511494	0	4	1	0	28	17	33496500	3.580674e-02	1
ARRDC3	51436	334	5	2941824	793158	0	4	0	0	50	26	53463348	3.596297e-02	1
MAP2K5	449735	377	31	3343782	854772	0	3	0	0	50	15	46967472	3.604881e-02	1
F5	294416	415	11	15717438	4148676	0	27	4	0	48	41	60266316	3.607842e-02	1
ZKSCAN1	1503181	254	41	3949164	1073844	0	5	0	0	50	39	74788638	3.609669e-02	1
MRPS12	1794625	282	21	933012	313938	0	3	0	0	50	28	54434502	3.623182e-02	1
RAB40A	458015	NaN	22	1887540	571152	0	5	1	0	50	40	52292682	3.624244e-02	1
OST4	NaN	NaN	NaN	280686	74328	0	1	0	0	26	18	31878888	3.653721e-02	1
OR51E2	207755	972	-1	2146710	690468	0	7	0	0	50	61	58146012	3.707902e-02	1
EGR3	765839	325	52	2644512	782400	0	4	2	0	22	11	16933092	3.707907e-02	1
DIAPH1	696745	502	14	9044544	2477274	0	9	0	0	13	4	14764866	3.730829e-02	1
MTM1	287123	NaN	16	4364814	1115898	0	10	0	0	20	16	22326762	3.848501e-02	1
COL4A6	171617	NaN	31	11631354	3819090	0	14	2	0	31	16	37519014	3.853779e-02	1
PPM1B	448266	420	32	3529602	938880	0	6	1	0	50	38	58813008	3.968877e-02	1
ASB11	201763	NaN	43	2553558	726654	0	5	0	0	50	37	66096174	3.970879e-02	1
STAG1	245682	512	22	9201024	2267982	0	11	3	0	50	38	65137734	3.974161e-02	1
NEK5	407938	432	42	5233278	1242060	0	9	1	0	50	36	61646274	3.985028e-02	1
SLC10A1	610490	333	47	2401968	725676	0	6	0	0	50	29	54953820	3.992594e-02	1
ZC3H11A	521302	280	32	5730102	1584360	0	10	0	0	15	6	15852402	4.000717e-02	1
SEMA4A	2294665	211	39	5284134	1587294	0	8	1	0	50	29	58198824	4.001847e-02	1
FAM166A	1724821	399	43	2270916	604404	0	4	0	0	50	31	45703896	4.002149e-02	1
TFAP4	944378	161	33	2366760	687534	0	5	0	0	50	34	57807624	4.005678e-02	1
OR2T27	141426	710	-10	2144754	651348	0	7	0	0	50	66	82431708	4.031115e-02	1
PRB3	311837	673	-1	2061624	719808	0	4	0	0	50	35	45126876	4.063071e-02	1
C19orf54	1127178	201	27	2366760	790224	0	4	1	0	50	22	53988534	4.069649e-02	1
IAPP	NaN	NaN	NaN	627876	187776	0	2	0	0	50	96	109101768	4.073030e-02	1
OR4D2	851306	401	14	2051844	656238	0	5	0	0	50	35	49780200	4.104150e-02	1
HDDC2	155442	373	-19	1476780	386310	0	5	0	0	50	48	60226218	4.108328e-02	1
NFE2L3	910990	445	39	4773618	1378980	0	10	1	0	13	12	14342370	4.119097e-02	1
CXCL6	233432	444	6	784356	263082	0	2	0	0	50	40	59078046	4.120388e-02	1
TM7SF3	408250	320	26	4017624	1137414	0	6	0	0	38	19	44936166	4.125581e-02	1
LYSMD1	1562281	184	33	1634238	507582	0	4	0	0	50	30	57592464	4.137658e-02	1
F11R	777836	441	19	2137908	608316	0	4	0	0	50	31	60620352	4.160741e-02	1
KLHL12	422793	318	28	4032294	1105140	0	4	0	0	50	22	56529378	4.175095e-02	1
CCL20	161901	296	7	718830	176040	0	3	0	0	50	33	51142554	4.179080e-02	1
LIMK1	1047202	219	52	4577040	1302696	0	6	0	0	50	27	53437920	4.189308e-02	1
