gene	leverage
JAM2	-0.2102
JAM3	-0.2371
MTSS1	-0.3172
INSC	-0.3282
A1CF	0.144
MMP1	-0.051
MMP13	-0.1603
MMP2	0.2281
MMP3	-0.1504
RHOB	0.1025
RHOBTB1	-0.2774
RHOBTB2	-0.2774
RHOC	0.081
RHOD	0.0371
RHOF	-0.276
RHOG	0.1873
RHOH	-0.0185
RHOJ	0.1113
RHOQ	0.208
RHOT1	-0.2461
RHOT2	-0.2101
RHOU	-0.038
RHOV	-0.2609
BANF1	-0.2761
CCNB1	0.3783
CCNB2	0.1207
CDK1	0.6852
GCK	0.0065
GCKR	-0.426
GEMIN2	-0.211
GEMIN4	-0.2645
GEMIN5	-0.1881
GEMIN6	-0.3236
GEMIN7	-0.262
GEMIN8	-0.3675
GLE1	-0.1639
HIKESHI	-0.4065
IPO8	-0.1113
NEK6	0.0092
NEK9	-0.2932
NPM1	0.516
PSIP1	-0.1653
RAE1	0.1445
SLBP	-0.2226
SNUPN	-0.284
SP100	0.0207
SUMO3	0.1724
XPOT	-0.3823
CASP3	0.5449
CASP7	0.0621
AAK1	-0.0432
ADRB2	0.277
AGFG1	-0.3436
AMPH	0.0617
AP2A1	0.304
AP2A2	0.2672
AP2B1	0.2663
AP2M1	0.297
AP2S1	0.2066
ARF6	0.2579
AVPR2	0.0939
BIN1	0.2214
CD3D	0.2169
CD3G	0.3509
CD4	0.41
CHRM2	0.2045
CLTA	0.3212
CLTB	0.2522
CTTN	0.2376
DAB2	0.3122
DNAJC6	-0.0517
DNM2	0.3889
EPN1	0.0266
EPN2	-0.0177
EPS15	0.1348
EPS15L1	-0.1641
FCHO1	0.0089
FCHO2	-0.1679
FNBP1	0.0162
FNBP1L	0.009
FZD4	0.2803
GAK	0.0595
GAPVD1	0.051
HGS	0.3831
HIP1	0.1416
HIP1R	0.001
IGF2R	-0.1694
KIAA0319	-0.3816
LDLR	-0.1815
LDLRAP1	-0.1752
M6PR	-0.2138
NECAP1	0.0156
PACSIN2	-0.0796
PICALM	-0.052
PIK3C2A	0.0618
RAB5A	0.2715
REPS1	-0.0289
REPS2	-0.1908
SCARB2	-0.2716
SGIP1	-0.0655
SLC18A3	-0.223
SLC2A8	-0.3896
SNX9	0.0158
STAM	-0.0422
STAM2	0.081
STON2	-0.1205
SYNJ1	0.1433
SYNJ2	0.1023
SYT2	-0.1322
SYT9	-0.247
TF	0.0491
TFRC	0.0362
TGOLN2	-0.0802
VAMP8	0.0272
WNK1	-0.1062
WNT5A	0.2259
ASNS	-0.3094
AARSD1	-0.4768
AASDHPPT	-0.0019
NGF	0.2733
AATK	-0.1693
ABCC2	0.2784
RDX	-0.0348
CACNA1A	0.0638
CACNA1B	-0.008
CACNA1G	-0.1359
RAPGEF3	-0.0388
RAPGEF4	0.0699
MSN	0.1279
PDE12	0.1304
SMC1A	0.3114
ABI1	0.058
ABL2	-0.0949
BRK1	-0.2554
CBLB	0.1148
CYFIP1	-0.0207
CYFIP2	-0.0441
FER	0.1253
FES	-0.1874
FGR	0.3332
FRK	-0.2218
INPPL1	-0.0985
ITGA4	0.1986
NCF1	0.0743
NCKAP1	-0.0455
NCKAP1L	-0.1946
RASA1	0.4177
USP6NL	-0.3406
VCAM1	-0.0046
WASF1	-0.0141
WASF2	-0.0258
WASF3	-0.0789
ABI2	-0.1874
EFS	-0.205
ADAM15	-0.2167
AIRE	-0.2915
AKAP6	-0.6163
BARGIN	-0.0523
BLK	0.122
CABLES1	-0.3159
CABLES2	-0.0276
CAP1	-0.0679
CAP2	-0.2089
CCKBR	-0.1757
CCNA2	-0.0047
CD19	0.0017
CD2AP	-0.0435
CDKL5	-0.0007
CNTNAP1	-0.3782
CSF1	0.0256
CSF1R	0.0886
DDX41	-0.1887
DKKL1	-0.1401
DLX4	-0.1461
DNM1	0.1905
DOK1	0.0312
DOK2	-0.0509
EFNA5	-0.1893
EPHA1	-0.3678
EPHA2	0.0875
EPHA3	-0.2018
EPHA4	-0.228
EPHA5	-0.35
EPHA6	-0.3527
EPHA7	-0.3942
EPHA8	-0.6444
EPHB1	-0.0202
EPHB4	-0.1649
EPHB6	-0.2652
ERBB2	0.5346
ERBB3	0.5568
ERBB4	0.4329
FMN1	-0.208
FYB1	-0.3093
GPX1	0.0707
HCK	0.3883
LRP8	-0.1818
LRRK1	-0.4704
MAP4K1	-0.0974
NEDD9	0.0246
NEK8	-0.2549
NKX2-1	-0.0489
NR2C2	-0.2359
NRP1	-0.2803
NTRK3	-0.1055
PARK7	0.148
PDE4D	-0.028
PDGFB	0.4624
PDGFRB	0.5338
PRKCD	0.5646
PRKD1	0.1937
PTPN1	0.2694
RAPGEF1	0.0146
RELN	-0.2128
RET	0.1288
RIN3	-0.3256
ROBO2	-0.0957
ROS1	0.262
RTN4	-0.3275
SCARF2	-0.5038
SELENON	-0.5066
SH3BP1	-0.151
SH3BP2	-0.1685
SHC2	-0.1303
SHC3	0.2542
SHC4	-0.0041
SLIT1	-0.3507
SMC3	0.2822
SNCA	0.3222
SNX12	0.0564
SNX17	-0.3323
VPS13A	-0.2898
WNK2	0.0989
ZNF274	-0.4656
MAP3K10	-0.3954
SSX2IP	-0.2617
ERBIN	-0.2247
ABRAXAS2	-0.4168
PEX7	0.0876
MMP12	-0.0157
MMP14	0.0267
MMP20	-0.1071
MMP7	-0.0659
MMP8	-0.0861
MMP9	0.1572
ACAP1	-0.4792
PLD2	0.099
SLC2A4	0.0536
ACAP2	-0.4995
PFDN4	-0.1818
RAD21	0.5311
STAG1	0.2209
STAG2	0.155
ACE	-0.4622
AGTR2	0.1801
MYH9	0.1437
COLQ	-0.4835
LAMB1	0.0061
API5	-0.533
CXCL1	0.0137
CXCL5	-0.1619
PF4	-0.2037
VWF	-0.0567
CCL27	-0.2098
CCL28	-0.2527
CXCL16	-0.279
FPR2	0.0158
PIK3CG	0.3955
PECAM1	0.2523
CXCL13	-0.2351
MYL6	0.0554
MYL6B	-0.2841
MYO16	-0.1502
ACP1	-0.5166
DUSP1	-0.0782
DUSP12	-0.1993
DUSP2	-0.3075
EFNA1	0.153
ACTN1	0.3655
ADAM17	0.0137
AFDN	0.0376
CFL1	0.141
GSN	-0.1188
IFT57	-0.106
MB	-0.4619
MMP15	-0.1878
MMP16	-0.0296
MMP19	-0.0562
MMP21	-0.0942
MMP23B	-0.0942
MMP24	-0.0443
MMP25	0.0007
MMP27	-0.0942
MMP28	-0.0746
MYH1	-0.3648
MYH10	-0.1013
MYH11	-0.0936
MYH13	-0.3371
MYH2	-0.0947
MYH3	-0.291
MYH4	-0.351
MYH6	-0.2689
MYH7	-0.2939
MYH7B	-0.3934
MYH8	-0.2989
PPP1R9B	-0.3622
UTRN	-0.3251
ALOX12	-0.4008
CCT5	0.067
CNN1	-0.3931
CNN2	-0.3908
EDNRA	0.1167
MYL10	-0.3121
MYL12A	-0.1496
MYL12B	-0.15
MYL5	-0.3121
MYL7	-0.3121
MYL9	-0.1198
MYLK	0.0451
MYLPF	-0.3503
PALLD	-0.3535
PXN	0.5135
ACTR3B	-0.3419
ACTR3C	-0.0972
ANK3	0.0446
B2M	0.1512
CCT6A	-0.183
CDC37	0.1437
CDK5R2	-0.2873
CFL2	-0.1645
COTL1	-0.1004
DKFZP686A1195	-0.332
DKFZP686D0714	-0.2993
DSTN	-0.0986
EVL	-0.2748
FMNL3	0.0766
FSCN1	0.1513
FSCN2	-0.1299
FSCN3	-0.1299
GRLF1	-0.1108
HCLS1	0.1292
ITGA2	0.2684
ITGA2B	0.1777
ITGA3	0.1322
ITGA6	0.2349
ITGAE	-0.0021
ITGAL	0.0941
LCP1	-0.3156
MAP1A	-0.1333
METAP1	0.1101
MGMT	0.3119
MLLT4	-0.0535
MYH14	-0.1266
MYH15	-0.0906
MYO10	-0.0925
MYO1A	-0.1553
MYO1B	-0.1893
MYO1D	-0.1893
MYO1E	-0.0977
MYO1F	-0.1203
MYO1G	-0.0176
MYO1H	-0.1893
MYO5B	-0.1745
MYO5C	-0.1893
MYO6	-0.1896
NUS1	-0.1846
PFDN1	-0.123
PFDN2	-0.3515
PFDN6	-0.4166
PFN1	0.0461
PFN2	-0.1514
PFN3	-0.2978
PFN4	-0.3164
PIP5K1C	0.0177
PTK2B	0.4773
PWP1	-0.1077
SETSIP	-0.3325
SYNPO	0.0503
TJP1	0.0089
TMSB4X	-0.1464
TMSB4Y	-0.0298
TWF1	-0.1173
TWF2	-0.2473
UBASH3B	-0.1335
VBP1	-0.2348
WDR1	-0.1717
ZYX	-0.084
TMOD3	-0.3345
FHOD1	-0.3249
PPP1R9A	-0.1563
VIL1	0.1963
PDCL	-0.0491
CAPN1	-0.0553
CSK	0.3108
DKFZP666O0110	0.3434
HEL-S-105	-0.4225
ILK	0.2124
KIRREL1	-0.2479
LPP	-0.2888
NPHS1	-0.13
PIP4K2A	-0.2697
PIP4K2B	-0.0897
PIP4K2C	-0.3736
PIP5K1A	-0.0714
PIP5K1B	-0.2365
STM7	-0.3235
ADAM12	-0.1525
DLG1	0.1914
DLG2	-0.0811
DLG3	-0.0317
DST	-0.3067
GRIA2	0.079
GRIA3	0.0049
GRIA4	0.0371
HRAS	0.6703
KCNA5	-0.222
KRAS	0.5979
LRRC7	-0.2862
NEFL	-0.0034
NOS3	0.3165
NRAS	0.594
NRG1	0.037
ACTR1B	0.0837
ARCN1	0.0296
BICD1	-0.0809
CAPZA1	0.1965
CAPZA2	0.1269
CAPZA3	0.1071
COPA	0.1888
COPB2	0.0942
COPE	0.035
COPG1	0.0317
COPG2	0.0412
COPZ1	0.0097
COPZ2	-0.0006
DCTN1	0.4498
FKBP4	0.0427
GALNT1	-0.0057
GALNT2	-0.0148
HLA-DPA1	0.2458
HLA-DPB1	0.2121
HLA-DQA1	0.2901
HLA-DQA2	0.1941
HLA-DQB1	0.2374
HLA-DQB2	0.0692
HLA-DRA	0.3749
HLA-DRB1	0.3184
HLA-DRB3	0.1857
HLA-DRB4	0.1952
HLA-DRB5	0.1767
KDELR1	0.1192
KIF11	-0.0038
KIF15	-0.0644
KIF23	0.0778
NR3C2	-0.0702
OSBPL1A	-0.0862
PGR	0.3649
RAB18	-0.014
RAB3GAP1	-0.0305
RAB3GAP2	0.1435
RAB7A	0.3976
RILP	0.038
SPTBN2	0.1829
SPTBN5	-0.0387
TMED3	-0.0071
TMED7	-0.0071
TMED9	0.0128
BORA	-0.0884
NEK2	0.1565
TUBB	0.313
TUBB4A	0.0987
TUBB4B	0.1385
ALAD	-0.3989
CD247	0.3239
EFHD2	-0.3886
FCGR1A	0.1608
FCGR2A	0.0328
FCGR3A	0.1264
GAB1	0.4303
HEL-S-275	-0.2628
IGHG1	-0.0803
IGHG2	-0.0929
IGHG3	-0.0521
IGHG4	-0.0929
IGHV	-0.0054
IGHV1-2	-0.0026
IGHV1-46	-0.0026
IGHV1-69	-0.0025
IGHV2-5	0.0218
IGHV2-70	0.0218
IGHV3-11	-0.0052
IGHV3-13	-0.0052
IGHV3-23	-0.0052
IGHV3-30	-0.0052
IGHV3-33	-0.0052
IGHV3-48	-0.0052
IGHV3-53	-0.0052
IGHV3-7	-0.0052
IGHV3-9	-0.0052
IGHV4-34	0.0218
IGHV4-39	0.0218
IGHV4-59	0.0218
IGHV7-81	-0.0054
IGKV1-12	-0.0054
IGKV1-16	-0.0054
IGKV1-17	-0.0054
IGKV1-33	-0.0054
IGKV1-39	-0.0054
IGKV1-5	0.0011
IGKV1D-12	-0.0054
IGKV1D-16	-0.0054
IGKV2-29	-0.0054
IGKV2-30	-0.0054
IGKV2D-28	-0.0054
IGKV2D-30	-0.0054
IGKV2D-40	-0.0054
IGKV3-11	-0.0054
IGKV3-15	-0.0054
IGKV3-20	-0.0054
IGKV3D-20	-0.0054
IGKV4-1	-0.0054
IGKV5-2	-0.0054
IGLC1	0.1825
IGLC2	-0.0054
IGLC3	-0.0054
IGLC6	-0.0054
IGLC7	-0.0054
IGLV	-0.0054
IGLV1-40	-0.0054
IGLV1-44	-0.0054
IGLV1-47	-0.0054
IGLV1-51	-0.0054
IGLV2-11	-0.0054
IGLV2-14	-0.0054
IGLV2-23	-0.0054
IGLV2-8	-0.0054
IGLV3-1	-0.0054
IGLV3-19	-0.0054
IGLV3-21	-0.0054
IGLV3-25	-0.0054
IGLV3-27	-0.0054
IGLV6-57	-0.0054
IGLV7-43	-0.0054
MBNL1	-0.332
V1-11	-0.0355
V1-13	-0.0355
V1-16	-0.0355
V1-20	-0.0355
V1-3	-0.0355
V1-5	-0.0355
V1-7	-0.0355
V1-9	-0.0355
V2-11	-0.0355
V2-15	-0.0355
V2-17	-0.0355
V2-19	-0.0355
V2-8	-0.0355
V3-2	-0.0355
V3-3	-0.0355
V3-4	-0.0355
V4-1	-0.0355
V4-2	-0.0355
V4-6	-0.0355
V5-1	-0.0355
V5-4	-0.0355
V5-6	-0.0355
CYBA	-0.3324
FNTA	-0.4693
GDNF	-0.0209
NCF2	-0.0625
NEO1	-0.4604
NOX1	-0.4126
RRAS2	0.2374
CDK5R1	0.0407
NRG2	-0.1156
TDGF1	-0.1546
DPP4	-0.593
ADA2	-0.4061
GMFG	-0.6224
LAPTM5	-0.3694
ADAM10	-0.088
DLL4	0.0712
EFNA2	-0.3386
EFNA3	-0.3418
EFNA4	-0.3692
EPHA10	-0.7155
JAG1	-0.1375
JAG2	0.1671
PKN2	-0.1816
PACSIN3	-0.4968
SH3RF1	-0.5947
SH3RF3	-0.338
NRG4	-0.2327
PKN1	-0.0148
PRKCH	0.1303
SORT1	-0.2542
ADAM22	-0.3982
ADAM28	-0.2903
IL1R1	-0.1567
IL1RAP	0.0518
KIT	0.2922
ADAM9	-0.2078
LGALS14	0.1356
ADAP1	-0.056
KIF13B	-0.377
MAP4K2	-0.2928
ADCY7	0.168
CNR1	0.0319
GNB5	0.3506
GNG10	0.2908
GNG11	0.3276
IL1A	0.1737
S1PR1	0.2987
ADCY10	0.0341
RGS2	0.0095
RIC8A	-0.3331
AKAP12	0.1322
TPTE	-0.2348
DRD5	0.0555
GHRHR	-0.2061
GLP1R	-0.1743
PTGER2	0.0146
ADD1	0.2308
ADD2	-0.2833
ADGRB1	-0.5217
MAGI3	-0.4212
MDM4	0.1284
GP1BB	-0.051
ADRA2A	0.0763
ADRA2C	0.106
GPHA2	-0.218
CAMLG	-0.347
PROKR2	-0.1683
APPL1	-0.287
RAMP1	-0.2079
RAMP2	-0.1941
ADM2	-0.2203
ADORA3	-0.1634
GNA12	-0.1086
ADRA2B	0.121
RAPGEF2	-0.2428
CYTH2	0.0223
AFAP1L2	0.2447
AGAP1	-0.7494
DENND1A	-0.3516
EXOC3	-0.2178
EXOC4	-0.1351
MRAS	0.1221
PTPN11	0.6045
PTPRM	-0.4313
RAP2C	-0.515
RRAS	0.265
SIPA1	-0.6515
AFF1	0.232
DENND4C	-0.3908
NF1	0.3239
RASAL2	0.1914
SYNGAP1	-0.2001
AGAP2	-0.1713
INSR	0.32
UNC5B	-0.3104
AGER	-0.0005
CYBB	-0.0863
S100A9	-0.2134
SAA1	-0.0265
MAP2K1	0.4969
MAP2K2	0.2925
RAF1	0.5627
GYG1	0.0424
GYG2	-0.0183
NHLRC1	-0.0118
PLPP3	-0.5135
CHRM1	0.1682
CHRNA1	-0.3688
CHRNG	-0.5446
LAMA2	-0.2856
LAMA4	0.0453
LAMB2	-0.1731
RAPSN	-0.4311
MC3R	-0.1924
MC4R	-0.1421
APLNR	0.0334
EDNRB	-0.096
GPR15	-0.1941
GPR25	0.2025
LPAR1	0.2213
LPAR2	0.213
LPAR3	0.1815
MAS1	-0.0372
PTGFR	0.0456
PTP4A3	-0.1554
ANGPT1	-0.0405
ANGPT4	-0.3244
FGF2	0.1981
CDCA5	-0.0889
EML4	-0.1186
ESPL1	-0.1295
PDS5A	-0.0841
PDS5B	-0.0107
WAPL	-0.1424
PLEC	-0.4536
MYOF	-0.67
NCOA7	0.0293
SNAI3	-0.1361
EPB42	-0.2033
RALB	-0.2284
AJAP1	-0.067
AK2	-0.4096
AKAP1	0.0427
TGM2	-0.0242
WUGSC:H_GS165O14.2	-0.5492
BRAP	-0.0505
TRPV1	0.0745
NPY4R	-0.2875
AKIP1	-0.0685
PAX7	-0.3534
BCL10	0.0983
BTBD10	0.1129
CCDC88A	-0.0501
CTNND2	-0.353
DAB1	-0.0292
DAB2IP	-0.1559
FAM83B	0.2306
FASLG	0.2816
FGFR1	0.2952
